time,open,high,low,close,volume
2024-07-31,126.42,127.71,125.73,127.71,2875191
2024-08-01,128.71,128.81,123.24,123.94,6904015
2024-08-02,121.26,123.94,120.17,122.35,9975015
2024-08-05,120.26,122.05,116.59,117.78,10450171
2024-08-06,119.17,121.06,118.97,119.97,6748144
2024-08-07,120.17,121.16,119.37,121.16,2832328
2024-08-08,120.76,121.56,120.07,120.56,2663832
2024-08-09,121.56,126.02,121.16,126.02,5511755
2024-08-12,126.02,129.3,125.33,129.1,6204408
2024-08-13,128.81,129.3,127.12,128.81,4110939
2024-08-14,129.8,130.59,128.61,128.61,2869469
2024-08-15,128.21,128.61,127.32,127.81,2266445
2024-08-16,128.21,130.1,128.21,129.7,5109223
2024-08-19,130.2,130.49,129.1,129.6,2508560
2024-08-20,129.8,131.59,129.8,130.59,3753490
2024-08-21,129.7,132.88,129.7,132.58,6137230
2024-08-22,133.08,133.57,132.58,132.88,3032995
2024-08-23,132.78,132.78,131.49,132.18,3064441
2024-08-26,132.38,132.58,130.59,130.59,2598875
2024-08-27,130.59,131.69,129.5,131.59,2346895
2024-08-28,132.08,133.57,131.98,132.38,2721387
2024-08-29,131.88,132.88,131.29,132.78,2098979
2024-08-30,132.58,133.97,132.08,133.87,3327420
2024-09-04,132.08,132.08,130.59,132.08,4547807
2024-09-05,132.08,132.08,128.81,129.7,8071651
2024-09-06,129.6,131.98,129.4,131.19,3829410
2024-09-09,129.9,130.99,129.2,130.39,2891093
2024-09-10,130.1,130.1,128.71,129.1,4203583
2024-09-11,129.1,130.39,128.9,129.7,3196732
2024-09-12,130.1,131.59,130.1,131.39,4124400
2024-09-13,131.29,132.48,131.09,132.08,3191984
2024-09-16,130.89,132.08,130.2,130.2,1921844
2024-09-17,130.29,131.98,130.29,131.98,2656869
2024-09-18,132.48,134.27,131.98,133.67,5390349
2024-09-19,134.07,134.86,133.37,134.27,5162767
2024-09-20,135.36,136.05,134.07,134.37,3728818
2024-09-23,134.96,134.96,132.48,133.08,2449563
2024-09-24,133.08,133.77,132.78,133.57,2017214
2024-09-25,133.37,133.87,132.68,133.87,4486319
2024-09-26,134.07,134.07,132.98,133.37,2821536
2024-09-27,133.37,133.47,132.58,133.27,3358474
2024-09-30,133.27,133.57,132.08,133.57,3037449
2024-10-01,133.77,135.26,133.77,134.96,4732079
2024-10-02,133.67,134.96,133.67,134.47,1725815
2024-10-03,134.47,135.16,133.08,133.08,2306560
2024-10-04,133.37,133.87,132.58,133.17,1473158
2024-10-07,133.27,133.97,132.68,133.17,1336595
2024-10-08,133.17,134.17,132.68,132.88,2114750
2024-10-09,133.37,134.86,133.37,134.47,2626409
2024-10-10,134.86,141.02,134.86,140.72,9980507
2024-10-11,141.02,141.81,138.64,138.64,3824418
2024-10-14,140.13,140.33,136.15,136.65,5616349
2024-10-15,136.65,137.64,135.66,136.05,2869640
2024-10-16,135.46,136.15,135.06,135.36,2762322
2024-10-17,135.56,136.15,134.57,136.05,2584896
2024-10-18,136.45,136.85,135.66,136.05,2175065
2024-10-21,136.05,136.75,134.57,134.57,2688428
2024-10-22,134.76,134.76,132.08,132.18,6022016
2024-10-23,131.98,133.87,131.69,133.27,3019672
2024-10-24,133.27,133.37,132.88,133.37,2281798
2024-10-25,133.37,133.67,132.68,133.08,1843711
2024-10-28,133.17,134.07,132.68,133.97,1509996
2024-10-29,134.47,134.57,133.87,134.47,2462885
2024-10-30,134.47,134.96,134.27,134.96,1713550
2024-10-31,134.96,135.06,134.37,134.96,1244928
2024-11-01,134.07,134.07,132.68,133.67,2676189
2024-11-04,133.67,133.67,131.78,131.88,3188263
2024-11-05,132.08,133.08,131.39,131.69,1663185
2024-11-06,132.18,133.67,132.08,133.67,1805646
2024-11-07,134.37,136.65,133.27,134.17,3579749
2024-11-08,135.16,135.86,134.17,134.86,2110766
2024-11-11,135.56,138.54,135.06,137.35,5301235
2024-11-12,137.64,137.94,134.96,135.86,2921656
2024-11-13,135.76,137.15,135.16,136.85,3460835
2024-11-14,136.95,138.93,135.06,135.06,4743684
2024-11-15,134.37,134.76,131.69,132.98,6574421
2024-11-18,133.08,133.67,131.59,133.08,3910975
2024-11-19,132.58,132.68,129.0,129.1,7652727
2024-11-20,129.1,131.49,125.83,131.49,8474055
2024-11-21,131.49,132.08,130.1,132.08,3183165
2024-11-22,131.98,133.47,131.59,132.98,2920914
2024-11-25,133.08,133.08,132.28,132.98,1855059
2024-11-26,132.48,134.96,132.38,134.27,4182343
2024-11-27,134.27,138.74,134.27,137.94,9826373
2024-11-28,138.44,139.03,137.35,138.44,4750858
2024-11-29,138.44,144.4,138.04,143.3,11617080
2024-12-02,144.3,146.0,141.6,142.2,6629554
2024-12-03,141.7,145.9,141.7,145.0,5115471
2024-12-04,145.0,146.3,142.8,143.5,5618586
2024-12-05,144.0,148.5,143.6,148.5,4862983
2024-12-06,151.9,151.9,148.0,149.5,4554818
2024-12-09,149.2,149.5,146.1,147.0,4551406
2024-12-10,147.1,149.5,147.0,149.5,3603755
2024-12-11,150.0,151.7,149.7,150.5,4828035
2024-12-12,151.9,151.9,149.2,150.2,4158310
2024-12-13,149.5,150.9,149.4,149.5,3379800
2024-12-16,149.6,150.6,149.5,149.9,3291100
2024-12-17,150.1,150.5,147.7,148.0,5947500
2024-12-18,148.0,149.8,148.0,148.7,2923400
2024-12-19,147.3,149.0,147.2,148.1,4805200
2024-12-20,148.5,150.6,148.3,149.5,3538900
2024-12-23,149.5,149.9,148.7,149.8,2514800
2024-12-24,150.0,150.8,149.4,150.4,2300900
2024-12-25,150.6,151.2,150.4,150.8,2513100
2024-12-26,151.0,151.4,149.1,149.8,2233300
2024-12-27,149.5,149.9,148.7,149.6,2561700
2024-12-30,149.4,150.8,148.5,150.5,1982400
2024-12-31,150.7,153.9,150.3,152.5,3603200
